Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8069510940X,Intel,Core i9-10940X,122,70.1,1,https://cpu.userbenchmark.com/SpeedTest/932085/IntelR-CoreTM-i9-10940X-CPU---330GHz
CPU,FH8068403419522,Intel,Core i5-8259U,123,70,1091,https://cpu.userbenchmark.com/SpeedTest/543736/IntelR-CoreTM-i5-8259U-CPU---230GHz
CPU,BX80646E31276V3,Intel,Xeon E3-1276 v3,124,69.8,169,https://cpu.userbenchmark.com/SpeedTest/25180/IntelR-XeonR-CPU-E3-1276-v3---360GHz
CPU,,Intel,Xeon E3-1271 v3,125,69.7,594,https://cpu.userbenchmark.com/SpeedTest/17463/IntelR-XeonR-CPU-E3-1271-v3---360GHz
CPU,BX80633I74930K,Intel,Core i7-4930K,126,69.7,12921,https://cpu.userbenchmark.com/Intel-Core-i7-4930K/Rating/1976
CPU,,Intel,Core i5-10210U,127,69.6,612,https://cpu.userbenchmark.com/SpeedTest/819403/IntelR-CoreTM-i5-10210U-CPU---160GHz
CPU,BX80662I76700,Intel,Core i7-6700,128,69.5,134493,https://cpu.userbenchmark.com/Intel-Core-i7-6700/Rating/3515
CPU,,Intel,Core i5-9300H,129,69.5,9648,https://cpu.userbenchmark.com/SpeedTest/744904/IntelR-CoreTM-i5-9300H-CPU---240GHz
CPU,,Intel,Xeon E5-1650 v2,130,69.4,3621,https://cpu.userbenchmark.com/SpeedTest/7574/IntelR-XeonR-CPU-E5-1650-v2---350GHz
CPU,YD1600BBAEBOX,AMD,Ryzen 5 1600,131,69.4,242099,https://cpu.userbenchmark.com/AMD-Ryzen-5-1600/Rating/3919
CPU,,Intel,Xeon E3-1230 v6,132,69.4,249,https://cpu.userbenchmark.com/SpeedTest/268848/IntelR-XeonR-CPU-E3-1230-v6---350GHz
CPU,BX80677I57500,Intel,Core i5-7500,133,69.4,78050,https://cpu.userbenchmark.com/Intel-Core-i5-7500/Rating/3648
CPU,,Intel,Core i7-3970X,134,69.1,1731,https://cpu.userbenchmark.com/SpeedTest/6794/IntelR-CoreTM-i7-3970X-CPU---350GHz
CPU,BX80662I56600,Intel,Core i5-6600,135,69.1,49058,https://cpu.userbenchmark.com/Intel-Core-i5-6600/Rating/3514
CPU,BX80646I74790,Intel,Core i7-4790,136,68.9,130387,https://cpu.userbenchmark.com/Intel-Core-i7-4790/Rating/2293
CPU,,Intel,Xeon E3-1275 v3,137,68.8,157,https://cpu.userbenchmark.com/SpeedTest/5652/IntelR-XeonR-CPU-E3-1275-v3---350GHz
CPU,BX80619I73960X,Intel,Core i7-3960X,138,68.6,1213,https://cpu.userbenchmark.com/Intel-Core-i7-3960X/Rating/1973
CPU,,Intel,Xeon E3-1230 v5,139,68.5,1255,https://cpu.userbenchmark.com/SpeedTest/72554/IntelR-XeonR-CPU-E3-1230-v5---340GHz
CPU,BX80646I54690,Intel,Core i5-4690,140,68.4,42423,https://cpu.userbenchmark.com/Intel-Core-i5-4690/Rating/2311
CPU,BX80646E31241V3,Intel,Xeon E3-1241 v3,141,68.4,1704,https://cpu.userbenchmark.com/SpeedTest/15164/IntelR-XeonR-CPU-E3-1241-v3---350GHz
CPU,YD1700BBAEBOX,AMD,Ryzen 7 1700,142,68.3,131121,https://cpu.userbenchmark.com/AMD-Ryzen-7-1700/Rating/3917
CPU,YD130XBBAEBOX,AMD,Ryzen 3 1300X,143,68.2,22262,https://cpu.userbenchmark.com/AMD-Ryzen-3-1300X/Rating/3930
CPU,,Intel,Core i5-4670,144,68,23987,https://cpu.userbenchmark.com/SpeedTest/630/IntelR-CoreTM-i5-4670-CPU---340GHz
CPU,BX80677I37350K,Intel,Core i3-7350K,145,67.9,2264,https://cpu.userbenchmark.com/Intel-Core-i3-7350K/Rating/3889
CPU,BX80646I74770,Intel,Core i7-4770,146,67.8,87671,https://cpu.userbenchmark.com/Intel-Core-i7-4770/Rating/1978
CPU,YD2200C5FBBOX,AMD,Ryzen 3 2200G,147,67.8,79926,https://cpu.userbenchmark.com/SpeedTest/441832/AMD-Ryzen-3-2200G-with-Radeon-Vega-Graphics
CPU,CM8068403362509,Intel,Core i5-8500T,148,67.7,1122,https://cpu.userbenchmark.com/SpeedTest/532888/IntelR-CoreTM-i5-8500T-CPU---210GHz
CPU,BX80637I73770K,Intel,Core i7-3770K,149,67.7,99740,https://cpu.userbenchmark.com/Intel-Core-i7-3770K/Rating/1317
CPU,CL8068403373522,Intel,Core i5-8300H,150,67.6,59369,https://cpu.userbenchmark.com/SpeedTest/425634/IntelR-CoreTM-i5-8300H-CPU---230GHz
CPU,,Intel,Core i7-8705G,151,67.6,3171,https://cpu.userbenchmark.com/SpeedTest/453718/IntelR-CoreTM-i7-8705G-CPU---310GHz
CPU,BX80646I74771,Intel,Core i7-4771,152,67.5,5817,https://cpu.userbenchmark.com/Intel-Core-i7-4771/Rating/2008
CPU,,Intel,Xeon E3-1270 v3,153,67.5,573,https://cpu.userbenchmark.com/SpeedTest/11395/IntelR-XeonR-CPU-E3-1270-v3---350GHz
CPU,BX80646E31246V3,Intel,Xeon E3-1246 v3,154,67.4,1191,https://cpu.userbenchmark.com/SpeedTest/11023/IntelR-XeonR-CPU-E3-1246-v3---350GHz
CPU,,Intel,Core i7-8665U,155,67.3,833,https://cpu.userbenchmark.com/SpeedTest/740553/IntelR-CoreTM-i7-8665U-CPU---190GHz
CPU,,Intel,Core i7-7820HK,156,67.3,9089,https://cpu.userbenchmark.com/SpeedTest/224965/IntelR-CoreTM-i7-7820HK-CPU---290GHz
CPU,,Intel,Xeon E3-1226 v3,157,67.2,971,https://cpu.userbenchmark.com/SpeedTest/18482/IntelR-XeonR-CPU-E3-1226-v3---330GHz
CPU,BX80637I53570K,Intel,Core i5-3570K,158,67.1,123458,https://cpu.userbenchmark.com/Intel-Core-i5-3570K/Rating/1316
CPU,,Intel,Core i7-7920HQ,159,67,742,https://cpu.userbenchmark.com/SpeedTest/243546/IntelR-CoreTM-i7-7920HQ-CPU---310GHz
CPU,,Intel,Core i5-8365U,160,66.8,580,https://cpu.userbenchmark.com/SpeedTest/774761/IntelR-CoreTM-i5-8365U-CPU---160GHz
CPU,YD150XBBAEBOX,AMD,Ryzen 5 1500X,161,66.8,40556,https://cpu.userbenchmark.com/AMD-Ryzen-5-1500X/Rating/3921
CPU,,Intel,Xeon E3-1245 v3,162,66.6,1145,https://cpu.userbenchmark.com/SpeedTest/4697/IntelR-XeonR-CPU-E3-1245-v3---340GHz
CPU,,Intel,Core i5-6600T,163,66.6,411,https://cpu.userbenchmark.com/SpeedTest/37851/IntelR-CoreTM-i5-6600T-CPU---270GHz
CPU,,Intel,Core i7-4790S,164,66.5,7241,https://cpu.userbenchmark.com/SpeedTest/13424/IntelR-CoreTM-i7-4790S-CPU---320GHz
CPU,BX80677I77700T,Intel,Core i7-7700T,165,66.5,3370,https://cpu.userbenchmark.com/SpeedTest/232624/IntelR-CoreTM-i7-7700T-CPU---290GHz
CPU,,Intel,Core i5-4670S,166,66.4,585,https://cpu.userbenchmark.com/SpeedTest/5523/IntelR-CoreTM-i5-4670S-CPU---310GHz
CPU,,Intel,Xeon E3-1240 v3,167,66.2,1262,https://cpu.userbenchmark.com/SpeedTest/4602/IntelR-XeonR-CPU-E3-1240-v3---340GHz
CPU,BX80677I37320,Intel,Core i3-7320,168,66.1,249,https://cpu.userbenchmark.com/Intel-Core-i3-7320/Rating/3888
CPU,BX80646E31231V3,Intel,Xeon E3-1231 v3,169,66.1,10785,https://cpu.userbenchmark.com/SpeedTest/11040/IntelR-XeonR-CPU-E3-1231-v3---340GHz
CPU,BX80619I73930K,Intel,Core i7-3930K,170,66.1,21711,https://cpu.userbenchmark.com/Intel-Core-i7-3930K/Rating/1487
CPU,,Intel,Xeon E3-1220 v5,171,66,550,https://cpu.userbenchmark.com/SpeedTest/139116/IntelR-XeonR-CPU-E3-1220-v5---300GHz
CPU,YD2400C5FBBOX,AMD,Ryzen 5 2400G,172,65.8,60615,https://cpu.userbenchmark.com/SpeedTest/433194/AMD-Ryzen-5-2400G-with-Radeon-Vega-Graphics
CPU,BX80646I54590,Intel,Core i5-4590,173,65.6,69388,https://cpu.userbenchmark.com/Intel-Core-i5-4590/Rating/2604
CPU,CM8068403358913,Intel,Core i5-8400T,174,65.3,1081,https://cpu.userbenchmark.com/SpeedTest/475176/IntelR-CoreTM-i5-8400T-CPU---170GHz
CPU,,Intel,Core i3-7101E,175,65.2,8,https://cpu.userbenchmark.com/SpeedTest/325269/IntelR-CoreTM-i3-7101E-CPU---390GHz
CPU,,Intel,Core i5-3570,176,65.1,49905,https://cpu.userbenchmark.com/SpeedTest/793/IntelR-CoreTM-i5-3570-CPU---340GHz
CPU,FJ8068404064405,Intel,Core i7-8565U,177,65,15692,https://cpu.userbenchmark.com/SpeedTest/591977/IntelR-CoreTM-i7-8565U-CPU---180GHz
CPU,,Intel,Core i7-4770S,178,65,6365,https://cpu.userbenchmark.com/SpeedTest/2123/IntelR-CoreTM-i7-4770S-CPU---310GHz
CPU,CM8066201920202,Intel,Core i7-6700T,179,64.8,4680,https://cpu.userbenchmark.com/SpeedTest/36439/IntelR-CoreTM-i7-6700T-CPU---280GHz
CPU,BX80633I74820K,Intel,Core i7-4820K,180,64.8,12588,https://cpu.userbenchmark.com/Intel-Core-i7-4820K/Rating/1675
CPU,BX80646I54570,Intel,Core i5-4570,181,64.5,64424,https://cpu.userbenchmark.com/Intel-Core-i5-4570/Rating/2770
CPU,BX80623I52500K,Intel,Core i5-2500K,182,64.5,112215,https://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619
